                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8545,                 5.8071,                 1.6835,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00042,                0.00042,                0.00042
                      2,                 1.8217,                 2.7366,                 1.8236,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00085432,             0.00085432,             0.00085432
                      3,                 1.9104,                 2.1557,                 1.9264,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0012828,              0.0012828,              0.0012828
                      4,                 1.8586,                  1.885,                 1.8763,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0017055,              0.0017055,              0.0017055
                      5,                 1.8856,                 1.8158,                  1.867,                0.00642,                0.35484,                0.00403,                0.00112,                 3.0414,                    inf,                 5.3324,              0.0019472,              0.0019472,              0.0019472
                      6,                 1.8483,                 1.7295,                 1.8581,                0.08814,                0.04301,                0.02593,                0.01117,                 3.9083,                 14.903,                 7.5375,               0.001934,               0.001934,               0.001934
                      7,                 1.8726,                 1.7391,                 1.8795,                0.08814,                0.04301,                0.02593,                0.01117,                 4.9575,                 11.094,                 12.069,              0.0019208,              0.0019208,              0.0019208
                      8,                 1.8829,                   1.75,                 1.8823,                0.08814,                0.04301,                0.02593,                0.01117,                0.62884,                 2.5765,                 1.5597,              0.0019076,              0.0019076,              0.0019076
                      9,                 1.8256,                 1.6517,                 1.8664,                0.03359,                0.06452,                0.00418,                0.00137,                 3.6441,                 8.5939,                 3.0915,              0.0018944,              0.0018944,              0.0018944
                     10,                 1.7928,                 1.6085,                 1.8375,                0.03841,                0.10753,                0.01428,                0.00529,                    nan,                    nan,                    nan,              0.0018812,              0.0018812,              0.0018812
                     11,                 1.7464,                 1.4813,                 1.7427,                0.01811,                0.07953,                0.00632,                 0.0022,                 3.1067,                  19.54,                 3.0976,               0.001868,               0.001868,               0.001868
                     12,                  1.712,                 1.4211,                 1.7115,                0.29868,                 0.3871,                0.20957,                0.08101,                 2.0754,                 3.0303,                 2.1018,              0.0018548,              0.0018548,              0.0018548
                     13,                 1.6896,                 1.4693,                 1.7376,                 0.8606,                0.51613,                0.64478,                0.29568,                 1.7221,                 1.8276,                 1.9489,              0.0018416,              0.0018416,              0.0018416
                     14,                  1.637,                 1.3062,                 1.7073,                0.59884,                 0.5914,                0.58924,                0.27142,                 1.8883,                 1.7448,                 2.0218,              0.0018284,              0.0018284,              0.0018284
                     15,                 1.6295,                 1.3174,                 1.7166,                0.69792,                0.58065,                0.64858,                0.31143,                 1.7726,                 1.5124,                 1.9779,              0.0018152,              0.0018152,              0.0018152
                     16,                 1.6715,                 1.3211,                 1.6887,                0.63715,                0.68817,                0.66724,                0.31318,                 1.6724,                 1.4624,                 1.8872,               0.001802,               0.001802,               0.001802
                     17,                 1.6248,                 1.2659,                 1.6634,                0.78238,                0.55914,                 0.6928,                0.30633,                 1.7301,                  1.483,                 1.9464,              0.0017888,              0.0017888,              0.0017888
                     18,                  1.595,                 1.2568,                 1.6589,                 0.6531,                0.54839,                0.55552,                0.23719,                 1.9087,                 1.6989,                 1.9773,              0.0017756,              0.0017756,              0.0017756
                     19,                 1.5077,                 1.1519,                 1.5964,                0.83019,                0.62366,                0.75749,                0.36629,                 1.7123,                  1.264,                 1.8899,              0.0017624,              0.0017624,              0.0017624
                     20,                 1.5954,                 1.1478,                 1.6335,                0.66077,                0.68817,                0.66788,                0.34496,                 1.6285,                 1.8666,                 1.8108,              0.0017492,              0.0017492,              0.0017492
